Vehicle_Model,Mileage,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Odometer_Reading,Service_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status
Truck,58765,0,4,Electric,Automatic,28524,6,13.6222038,New,New,Weak
Van,60353,1,7,Electric,Automatic,133630,7,13.62530685,New,New,Weak
Bus,68072,0,2,Electric,Automatic,34022,7,14.30630236,New,Good,Weak
Bus,60849,4,5,Petrol,Automatic,81636,7,18.70946666,New,Worn Out,New
Bus,45742,5,1,Petrol,Manual,97162,6,16.9774825,Good,Good,Weak
Truck,31653,2,1,Diesel,Automatic,70954,5,15.95442206,Worn Out,Good,New
Motorcycle,51211,2,8,Diesel,Automatic,145563,10,16.45570318,New,Good,New
Van,79093,2,2,Petrol,Automatic,132354,3,12.12840374,Good,New,New
SUV,59673,2,6,Electric,Manual,85733,9,11.55802677,Worn Out,Good,Weak
Bus,37001,2,9,Diesel,Automatic,8554,9,12.78724818,Worn Out,New,New
Bus,49494,5,10,Electric,Automatic,51817,5,15.5443715,New,New,New
Car,71128,3,4,Petrol,Automatic,35751,6,16.38821978,Worn Out,New,Weak
Bus,61711,4,8,Petrol,Automatic,118508,10,13.92594335,Worn Out,New,Weak
Car,37517,4,3,Petrol,Manual,64195,3,11.61351056,New,New,Good
Car,51152,5,6,Diesel,Manual,36403,8,16.33998023,Worn Out,Good,New
SUV,61396,5,1,Petrol,Manual,80856,4,10.07271196,Good,Worn Out,Weak
Bus,64440,0,7,Diesel,Manual,6493,7,13.73612294,Worn Out,Good,New
Motorcycle,37956,0,3,Electric,Automatic,143432,3,10.00713008,Worn Out,New,New
Bus,44751,3,3,Diesel,Automatic,7755,10,16.24308028,Good,Good,New
Bus,41951,1,7,Petrol,Automatic,104771,5,15.67909242,New,Worn Out,New
Motorcycle,45495,1,6,Diesel,Manual,88476,1,17.48108031,Worn Out,Good,Weak
SUV,63280,3,2,Diesel,Automatic,28975,6,10.7377029,Worn Out,Good,Good
Motorcycle,79936,0,10,Electric,Automatic,15052,10,16.22524022,Worn Out,New,Weak
Bus,74528,1,7,Electric,Automatic,108851,5,13.42715042,Worn Out,Good,New
Car,34005,0,2,Diesel,Manual,71423,6,13.85904926,Good,Worn Out,Weak
Car,49957,5,7,Electric,Automatic,42971,8,17.03695635,Worn Out,New,Good
Motorcycle,36652,5,9,Electric,Automatic,88775,9,19.18580254,Good,New,Weak
Motorcycle,49616,4,2,Electric,Manual,77128,8,19.33631707,Good,Worn Out,Weak
SUV,65381,1,8,Petrol,Manual,141901,3,11.27652071,New,Good,Good
SUV,67982,5,7,Diesel,Automatic,149954,4,19.82641608,New,Good,Weak
Motorcycle,33189,1,3,Petrol,Manual,148440,4,15.15413882,Good,Worn Out,Weak
